solution,factors,rotation,item,factor,loading,absolute_loading,loading_rank_within_item,primary_loading,loading_ge_0_30,substantial_secondary_loading,communality,uniqueness,complexity
two_factor,2,oblimin,DPQ090,MR2,0.9107448772073047,0.9107448772073047,1,TRUE,TRUE,FALSE,0.698382421164022,0.30161757883597795,1.0237256790053069
three_factor,3,oblimin,DPQ010,MR1,0.06362595324310928,0.06362595324310928,3,FALSE,FALSE,FALSE,0.5742802026685739,0.42571979733142606,2.0281179261610727
three_factor,3,oblimin,DPQ010,MR2,0.35770769384787815,0.35770769384787815,2,FALSE,TRUE,TRUE,0.5742802026685739,0.42571979733142606,2.0281179261610727
three_factor,3,oblimin,DPQ010,MR3,0.4020112727086962,0.4020112727086962,1,TRUE,TRUE,FALSE,0.5742802026685739,0.42571979733142606,2.0281179261610727
three_factor,3,oblimin,DPQ020,MR1,-0.006713486622395332,0.006713486622395332,3,FALSE,FALSE,FALSE,0.8091938208416765,0.19080617915832354,1.0608154560080212
three_factor,3,oblimin,DPQ020,MR2,0.13927153863754524,0.13927153863754524,2,FALSE,FALSE,FALSE,0.8091938208416765,0.19080617915832354,1.0608154560080212
three_factor,3,oblimin,DPQ020,MR3,0.799262728965783,0.799262728965783,1,TRUE,TRUE,FALSE,0.8091938208416765,0.19080617915832354,1.0608154560080212
three_factor,3,oblimin,DPQ030,MR1,0.17192310291340512,0.17192310291340512,2,FALSE,FALSE,FALSE,0.5181188159437327,0.48188118405626734,1.2530574066012212
three_factor,3,oblimin,DPQ030,MR2,0.5284272921561065,0.5284272921561065,1,TRUE,TRUE,FALSE,0.5181188159437327,0.48188118405626734,1.2530574066012212
three_factor,3,oblimin,DPQ030,MR3,0.07477882210633913,0.07477882210633913,3,FALSE,FALSE,FALSE,0.5181188159437327,0.48188118405626734,1.2530574066012212
three_factor,3,oblimin,DPQ040,MR1,0.008149209792938636,0.008149209792938636,2,FALSE,FALSE,FALSE,0.763045259117085,0.23695474088291502,1.0003114393501167
three_factor,3,oblimin,DPQ040,MR2,0.86274188925965,0.86274188925965,1,TRUE,TRUE,FALSE,0.763045259117085,0.23695474088291502,1.0003114393501167
three_factor,3,oblimin,DPQ040,MR3,0.007035040122405247,0.007035040122405247,3,FALSE,FALSE,FALSE,0.763045259117085,0.23695474088291502,1.0003114393501167
three_factor,3,oblimin,DPQ050,MR1,0.3090147044017762,0.3090147044017762,2,FALSE,TRUE,TRUE,0.49690947655329315,0.5030905234467069,2.14363294362808
three_factor,3,oblimin,DPQ050,MR2,0.3594403049901254,0.3594403049901254,1,TRUE,TRUE,FALSE,0.49690947655329315,0.5030905234467069,2.14363294362808
three_factor,3,oblimin,DPQ050,MR3,0.10531438892260632,0.10531438892260632,3,FALSE,FALSE,FALSE,0.49690947655329315,0.5030905234467069,2.14363294362808
three_factor,3,oblimin,DPQ060,MR1,-0.03537532047529897,0.03537532047529897,2,FALSE,FALSE,FALSE,0.7540780448649869,0.24592195513501314,1.003120349315408
three_factor,3,oblimin,DPQ060,MR2,0.0010004913775646677,0.0010004913775646677,3,FALSE,FALSE,FALSE,0.7540780448649869,0.24592195513501314,1.003120349315408
three_factor,3,oblimin,DPQ060,MR3,0.8959569422078811,0.8959569422078811,1,TRUE,TRUE,FALSE,0.7540780448649869,0.24592195513501314,1.003120349315408
three_factor,3,oblimin,DPQ070,MR1,0.4414108548319261,0.4414108548319261,1,TRUE,TRUE,FALSE,0.565352452038417,0.434647547961583,1.7408639083069233
three_factor,3,oblimin,DPQ070,MR2,0.14656242070718203,0.14656242070718203,3,FALSE,FALSE,FALSE,0.565352452038417,0.434647547961583,1.7408639083069233
three_factor,3,oblimin,DPQ070,MR3,0.22557902798702004,0.22557902798702004,2,FALSE,FALSE,FALSE,0.565352452038417,0.434647547961583,1.7408639083069233
three_factor,3,oblimin,DPQ080,MR1,0.8223503002015704,0.8223503002015704,1,TRUE,TRUE,FALSE,0.6861261043292214,0.3138738956707786,1.0003487084907137
three_factor,3,oblimin,DPQ080,MR2,0.01070444800187346,0.01070444800187346,2,FALSE,FALSE,FALSE,0.6861261043292214,0.3138738956707786,1.0003487084907137
three_factor,3,oblimin,DPQ080,MR3,-0.001822920213810112,0.001822920213810112,3,FALSE,FALSE,FALSE,0.6861261043292214,0.3138738956707786,1.0003487084907137
three_factor,3,oblimin,DPQ090,MR1,0.10745925716173266,0.10745925716173266,3,FALSE,FALSE,FALSE,0.6821368000988287,0.3178631999011713,1.072780601715389
three_factor,3,oblimin,DPQ090,MR2,-0.11155254128982013,0.11155254128982013,2,FALSE,FALSE,FALSE,0.6821368000988287,0.3178631999011713,1.072780601715389
three_factor,3,oblimin,DPQ090,MR3,0.8153453983634452,0.8153453983634452,1,TRUE,TRUE,FALSE,0.6821368000988287,0.3178631999011713,1.072780601715389
